Years,Values
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,102758
2008,2092387
2009,1928365
2010,1681280
2011,1654155
2012,1455356
2013,1309482
2014,605000
2015,537621
2016,532479
2017,544208
2018,524973
2019,528623
2020,583078
2021,630340
2022,641603
1993 Q1,0
1993 Q2,0
1993 Q3,0
1993 Q4,0
1994 Q1,0
1994 Q2,0
1994 Q3,0
1994 Q4,0
1995 Q1,0
1995 Q2,0
1995 Q3,0
1995 Q4,0
1996 Q1,0
1996 Q2,0
1996 Q3,0
1996 Q4,0
1997 Q1,0
1997 Q2,0
1997 Q3,0
1997 Q4,0
1998 Q1,0
1998 Q2,0
1998 Q3,0
1998 Q4,0
1999 Q1,0
1999 Q2,0
1999 Q3,0
1999 Q4,0
2000 Q1,0
2000 Q2,0
2000 Q3,0
2000 Q4,0
2001 Q1,0
2001 Q2,0
2001 Q3,0
2001 Q4,0
2002 Q1,0
2002 Q2,0
2002 Q3,0
2002 Q4,0
2003 Q1,0
2003 Q2,0
2003 Q3,0
2003 Q4,0
2004 Q1,0
2004 Q2,0
2004 Q3,0
2004 Q4,0
2005 Q1,0
2005 Q2,0
2005 Q3,0
2005 Q4,0
2006 Q1,0
2006 Q2,0
2006 Q3,0
2006 Q4,0
2007 Q1,0
2007 Q2,0
2007 Q3,0
2007 Q4,102758
2008 Q1,99827
2008 Q2,93834
2008 Q3,126637
2008 Q4,2092387
2009 Q1,2015532
2009 Q2,1937057
2009 Q3,1932979
2009 Q4,1928365
2010 Q1,1833852
2010 Q2,1787433
2010 Q3,1705668
2010 Q4,1681280
2011 Q1,1711156
2011 Q2,1747432
2011 Q3,1702216
2011 Q4,1654155
2012 Q1,1583200
2012 Q2,1512602
2012 Q3,1485016
2012 Q4,1455356
2013 Q1,1447865
2013 Q2,1366379
2013 Q3,1337926
2013 Q4,1309482
2014 Q1,966030
2014 Q2,622719
2014 Q3,613860
2014 Q4,605000
2015 Q1,591211
2015 Q2,577422
2015 Q3,557522
2015 Q4,537621
2016 Q1,548664
2016 Q2,559707
2016 Q3,546093
2016 Q4,532479
2017 Q1,541815
2017 Q2,551150
2017 Q3,547679
2017 Q4,544208
2018 Q1,549007
2018 Q2,553805
2018 Q3,539389
2018 Q4,524973
2019 Q1,530084
2019 Q2,535194
2019 Q3,531909
2019 Q4,528623
2020 Q1,551588
2020 Q2,574553
2020 Q3,578816
2020 Q4,583078
2021 Q1,597237
2021 Q2,611396
2021 Q3,620868
2021 Q4,630340
2022 Q1,635972
2022 Q2,641603
2022 Q3,641603
2022 Q4,641603
1993 JAN,0
1993 FEB,0
1993 MAR,0
1993 APR,0
1993 MAY,0
1993 JUN,0
1993 JUL,0
1993 AUG,0
1993 SEP,0
1993 OCT,0
1993 NOV,0
1993 DEC,0
1994 JAN,0
1994 FEB,0
1994 MAR,0
1994 APR,0
1994 MAY,0
1994 JUN,0
1994 JUL,0
1994 AUG,0
1994 SEP,0
1994 OCT,0
1994 NOV,0
1994 DEC,0
1995 JAN,0
1995 FEB,0
1995 MAR,0
1995 APR,0
1995 MAY,0
1995 JUN,0
1995 JUL,0
1995 AUG,0
1995 SEP,0
1995 OCT,0
1995 NOV,0
1995 DEC,0
1996 JAN,0
1996 FEB,0
1996 MAR,0
1996 APR,0
1996 MAY,0
1996 JUN,0
1996 JUL,0
1996 AUG,0
1996 SEP,0
1996 OCT,0
1996 NOV,0
1996 DEC,0
1997 JAN,0
1997 FEB,0
1997 MAR,0
1997 APR,0
1997 MAY,0
1997 JUN,0
1997 JUL,0
1997 AUG,0
1997 SEP,0
1997 OCT,0
1997 NOV,0
1997 DEC,0
1998 JAN,0
1998 FEB,0
1998 MAR,0
1998 APR,0
1998 MAY,0
1998 JUN,0
1998 JUL,0
1998 AUG,0
1998 SEP,0
1998 OCT,0
1998 NOV,0
1998 DEC,0
1999 JAN,0
1999 FEB,0
1999 MAR,0
1999 APR,0
1999 MAY,0
1999 JUN,0
1999 JUL,0
1999 AUG,0
1999 SEP,0
1999 OCT,0
1999 NOV,0
1999 DEC,0
2000 JAN,0
2000 FEB,0
2000 MAR,0
2000 APR,0
2000 MAY,0
2000 JUN,0
2000 JUL,0
2000 AUG,0
2000 SEP,0
2000 OCT,0
2000 NOV,0
2000 DEC,0
2001 JAN,0
2001 FEB,0
2001 MAR,0
2001 APR,0
2001 MAY,0
2001 JUN,0
2001 JUL,0
2001 AUG,0
2001 SEP,0
2001 OCT,0
2001 NOV,0
2001 DEC,0
2002 JAN,0
2002 FEB,0
2002 MAR,0
2002 APR,0
2002 MAY,0
2002 JUN,0
2002 JUL,0
2002 AUG,0
2002 SEP,0
2002 OCT,0
2002 NOV,0
2002 DEC,0
2003 JAN,0
2003 FEB,0
2003 MAR,0
2003 APR,0
2003 MAY,0
2003 JUN,0
2003 JUL,0
2003 AUG,0
2003 SEP,0
2003 OCT,0
2003 NOV,0
2003 DEC,0
2004 JAN,0
2004 FEB,0
2004 MAR,0
2004 APR,0
2004 MAY,0
2004 JUN,0
2004 JUL,0
2004 AUG,0
2004 SEP,0
2004 OCT,0
2004 NOV,0
2004 DEC,0
2005 JAN,0
2005 FEB,0
2005 MAR,0
2005 APR,0
2005 MAY,0
2005 JUN,0
2005 JUL,0
2005 AUG,0
2005 SEP,0
2005 OCT,0
2005 NOV,0
2005 DEC,0
2006 JAN,0
2006 FEB,0
2006 MAR,0
2006 APR,0
2006 MAY,0
2006 JUN,0
2006 JUL,0
2006 AUG,0
2006 SEP,0
2006 OCT,0
2006 NOV,0
2006 DEC,0
2007 JAN,0
2007 FEB,0
2007 MAR,0
2007 APR,0
2007 MAY,0
2007 JUN,0
2007 JUL,0
2007 AUG,0
2007 SEP,0
2007 OCT,104235
2007 NOV,105388
2007 DEC,102758
2008 JAN,101047
2008 FEB,101971
2008 MAR,99827
2008 APR,98544
2008 MAY,101765
2008 JUN,93834
2008 JUL,92920
2008 AUG,86832
2008 SEP,126637
2008 OCT,1944059
2008 NOV,2018349
2008 DEC,2092387
2009 JAN,2066420
2009 FEB,2040589
2009 MAR,2015532
2009 APR,1989173
2009 MAY,1963080
2009 JUN,1937057
2009 JUL,1935773
2009 AUG,1934337
2009 SEP,1932979
2009 OCT,1931414
2009 NOV,1929741
2009 DEC,1928365
2010 JAN,1864645
2010 FEB,1849413
2010 MAR,1833852
2010 APR,1819124
2010 MAY,1803980
2010 JUN,1787433
2010 JUL,1760054
2010 AUG,1732804
2010 SEP,1705668
2010 OCT,1697507
2010 NOV,1689374
2010 DEC,1681280
2011 JAN,1691232
2011 FEB,1701105
2011 MAR,1711156
2011 APR,1723173
2011 MAY,1735284
2011 JUN,1747432
2011 JUL,1732384
2011 AUG,1717279
2011 SEP,1702216
2011 OCT,1686067
2011 NOV,1670116
2011 DEC,1654155
2012 JAN,1630570
2012 FEB,1606931
2012 MAR,1583200
2012 APR,1559641
2012 MAY,1536123
2012 JUN,1512602
2012 JUL,1503393
2012 AUG,1494210
2012 SEP,1485016
2012 OCT,1475127
2012 NOV,1465256
2012 DEC,1455356
2013 JAN,1502166
2013 FEB,1474983
2013 MAR,1447865
2013 APR,1420742
2013 MAY,1393533
2013 JUN,1366379
2013 JUL,1356955
2013 AUG,1347421
2013 SEP,1337926
2013 OCT,1328645
2013 NOV,1319163
2013 DEC,1309482
2014 JAN,1195141
2014 FEB,1080753
2014 MAR,966030
2014 APR,851593
2014 MAY,737156
2014 JUN,622719
2014 JUL,619766
2014 AUG,616813
2014 SEP,613860
2014 OCT,610906
2014 NOV,607953
2014 DEC,605000
2015 JAN,600404
2015 FEB,595807
2015 MAR,591211
2015 APR,586615
2015 MAY,582018
2015 JUN,577422
2015 JUL,570789
2015 AUG,564155
2015 SEP,557522
2015 OCT,550888
2015 NOV,544255
2015 DEC,537621
2016 JAN,541302
2016 FEB,544983
2016 MAR,548664
2016 APR,552345
2016 MAY,556026
2016 JUN,559707
2016 JUL,555169
2016 AUG,550631
2016 SEP,546093
2016 OCT,541555
2016 NOV,537017
2016 DEC,532479
2017 JAN,535591
2017 FEB,538703
2017 MAR,541815
2017 APR,544926
2017 MAY,548038
2017 JUN,551150
2017 JUL,549993
2017 AUG,548836
2017 SEP,547679
2017 OCT,546522
2017 NOV,545365
2017 DEC,544208
2018 JAN,545808
2018 FEB,547407
2018 MAR,549007
2018 APR,550606
2018 MAY,552206
2018 JUN,553805
2018 JUL,549000
2018 AUG,544194
2018 SEP,539389
2018 OCT,534584
2018 NOV,529778
2018 DEC,524973
2019 JAN,526677
2019 FEB,528380
2019 MAR,530084
2019 APR,531787
2019 MAY,533491
2019 JUN,535194
2019 JUL,534099
2019 AUG,533004
2019 SEP,531909
2019 OCT,530813
2019 NOV,529718
2019 DEC,528623
2020 JAN,536278
2020 FEB,543933
2020 MAR,551588
2020 APR,559243
2020 MAY,566898
2020 JUN,574553
2020 JUL,575974
2020 AUG,577395
2020 SEP,578816
2020 OCT,580236
2020 NOV,581657
2020 DEC,583078
2021 JAN,587798
2021 FEB,592517
2021 MAR,597237
2021 APR,601957
2021 MAY,606676
2021 JUN,611396
2021 JUL,614553
2021 AUG,617711
2021 SEP,620868
2021 OCT,624025
2021 NOV,627183
2021 DEC,630340
2022 JAN,632217
2022 FEB,634094
2022 MAR,635972
2022 APR,637849
2022 MAY,639726
2022 JUN,641603
2022 JUL,641603
2022 AUG,641603
2022 SEP,641603
2022 OCT,641603
2022 NOV,641603
2022 DEC,641603
2023 JAN,641603
